SentenceRef,CorrectedSentence,RawSentence,TokensInSentence,EditsInSentence,EqualsInSentence,Insertions,Deletions,Replacements,CorrectBeginning,CorrectEnding,InputQuality
BBCMHJPT_s000,There once was a girl called Lilly.,There once was a girl called lilly,8,1,7,1,0,0,1.0,0.0,ok
BBCMHJPT_s001,She had a pet horse.,she had pet horse,6,2,4,2,0,0,0.0,0.0,ok
BBCMHJPT_s002,They went for a walk.,they went for walk,6,2,4,2,0,0,0.0,0.0,ok
BBCMHJPT_s003,"""Oh no,"" she said,"" we are lost.",oh no she said we are lost,13,6,7,6,0,0,0.0,0.0,ok
BBCMHJPT_s004,What should we do?,what should we do.,5,1,4,0,0,1,0.0,0.0,ok
BBCMHJPT_s005,"""They finally got home.",They finaly got home YAAAYwe,6,3,3,1,0,2,1.0,0.0,ok
BBCMHJPT_s006,"""YAAAY, we are home.",are home,7,5,2,5,0,0,0.0,0.0,ok
BBCMHJPT_s007,That was a long trip.,that was a long trip lest,6,1,5,0,0,1,0.0,0.0,ok
BBCMHJPT_s008,"Let' s go to bed now,"" the horse said.",'s go to bed now the horse said,13,4,9,4,0,0,0.0,0.0,ok
BBCMHJPT_s009,"""Why, you can talk?",why you can talk,7,3,4,3,0,0,0.0,0.0,ok
BBCMHJPT_s010,"""Lilly said.",lilly said.,4,1,3,1,0,0,0.0,1.0,ok
BBKBYNDW_s000,wrire a narrative story abouta search for some thing.,wrire a narrative story abouta search for some thing.,10,0,10,0,0,0,0.0,1.0,ok
BBKBYNDW_s001,your story could be about a plaace or a searck for an obj ect.,your story could be about a plaace or a searck for an obj ect.,15,0,15,0,0,0,0.0,1.0,ok
BBKBYNDW_s002,lt could be you can what happens if it isn own idea adout a search for something.,lt could be you can what happens if it isn own idea adout a search for something.,18,0,18,0,0,0,0.0,1.0,ok
BBKBYNDW_s003,information orbs WH,information orbs WH,3,0,3,0,0,0,0.0,,ok
BBRWTLYV_s000,"The Failed Submarine I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of.","The Failed Submarine I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of.",30,0,30,0,0,0,1.0,1.0,ok
BBRWTLYV_s001,"Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2.","Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2.",25,0,25,0,0,0,1.0,1.0,ok
BBRWTLYV_s002,But the major problem was the' bargain' price.,But the major problem was the' bargain' price.,11,0,11,0,0,0,1.0,1.0,ok
BBRWTLYV_s003,It was only about a few thousand dollars a night to go on an underwater and moving' hotel'.,It was only about a few thousand dollars a night to go on an underwater and moving' hotel'.,21,0,21,0,0,0,1.0,1.0,ok
BBRWTLYV_s004,But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won.,But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won.,23,0,23,0,0,0,1.0,1.0,ok
BBRWTLYV_s005,"The first thing I did was persuade my mum into going on a Sub 2 trip for a few nights, and she, at last, reluctantly agreed to go on a few nights around Australia.","The first thing I did was persuade my mum into going on a Sub 2 trip for a few nights, and she, at last, reluctantly agreed to go on a few nights around Australia.",38,0,38,0,0,0,1.0,1.0,ok
BBRWTLYV_s006,"Hopes high, I boarded the luxury submarine, and the first thing my family and I did was go to the dining room.","Hopes high, I boarded the luxury submarine, and the first thing my family and I did was go to the dining room.",25,0,25,0,0,0,1.0,1.0,ok
BBRWTLYV_s007,We sat on floating recliners and ate pricey food made by a private chef on a floating table the size of a bus.,We sat on floating recliners and ate pricey food made by a private chef on a floating table the size of a bus.,24,0,24,0,0,0,1.0,1.0,ok
BBRWTLYV_s008,But the highlight of the trip around Australia was the rooms we had booked for rooms for the journey.,But the highlight of the trip around Australia was the rooms we had booked for rooms for the journey.,20,0,20,0,0,0,1.0,1.0,ok
BBRWTLYV_s009,"The door was unlocked by Face ID, and we were greeted to a spectacular dining room with an underwater view.","The door was unlocked by Face ID, and we were greated to a spectacular dining room with an underwater view.",22,1,21,0,0,1,1.0,1.0,ok
BBRWTLYV_s010,"As we plonked down onto the hovering king - sized beds, the boat stopped gliding through the ocean like a knife.","As we plonked down onto the hovering king - sized beds, the boat stopped gliding through the ocean like a knife.",23,0,23,0,0,0,1.0,1.0,ok
BBRWTLYV_s011,"Assuming that it was normal, we started jumping on the bed.","Assuming that it was normal, we started jumping on the bed.",13,0,13,0,0,0,1.0,1.0,ok
BBRWTLYV_s012,"Suddenly, disaster struck, like lightning to a tree.","Suddenly, disaster struck, like lightening to a tree.",11,1,10,0,0,1,1.0,1.0,ok
