ID,raw_index,raw_token,raw_start,raw_end,corr_index,corr_token,corr_start,corr_end,op,equal_ci,error_type,CorrSentenceID,Sentence Boundaries,TITLE,DIALOGUE,SentenceRef,BoundaryCheck
BBCMHJPT,0.0,There,0.0,5.0,0,There,0,5,equal,True,Equal,0,Sentence Beginning,False,False,BBCMHJPT_s000,Correct Beginning
BBCMHJPT,1.0,once,6.0,10.0,1,once,6,10,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,2.0,was,11.0,14.0,2,was,11,14,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,3.0,a,15.0,16.0,3,a,15,16,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,4.0,girl,17.0,21.0,4,girl,17,21,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,5.0,called,22.0,28.0,5,called,22,28,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,6.0,lilly,29.0,34.0,6,lilly,29,34,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,7.0,she,35.0,38.0,7,she,35,38,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,8.0,had,39.0,42.0,8,had,39,42,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,9.0,pet,43.0,46.0,9,pet,43,46,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,10.0,horse,47.0,52.0,10,horse,47,52,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,11.0,they,53.0,57.0,11,they,53,57,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,12.0,went,58.0,62.0,12,went,58,62,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,13.0,for,63.0,66.0,13,for,63,66,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,14.0,walk,67.0,71.0,14,walk,67,71,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,15.0,oh,72.0,74.0,15,oh,72,74,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,16.0,no,75.0,77.0,16,no,75,77,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,17.0,she,78.0,81.0,17,she,78,81,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,18.0,said,82.0,86.0,18,said,82,86,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,19.0,we,87.0,89.0,19,we,87,89,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,20.0,are,90.0,93.0,20,are,90,93,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,21.0,lost,94.0,98.0,21,lost,94,98,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,22.0,what,99.0,103.0,22,what,99,103,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,23.0,should,104.0,110.0,23,should,104,110,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,24.0,we,111.0,113.0,24,we,111,113,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,25.0,do,114.0,116.0,25,do,114,116,equal,True,Equal,0,,False,False,BBCMHJPT_s000,
BBCMHJPT,26.0,.,116.0,117.0,26,.,116,117,equal,True,Equal,0,Sentence Ending,False,False,BBCMHJPT_s000,Correct Ending
BBCMHJPT,27.0,They,118.0,122.0,27,They,118,122,equal,True,Equal,1,Sentence Beginning,False,False,BBCMHJPT_s001,Correct Beginning
BBCMHJPT,28.0,finaly,123.0,129.0,28,finaly,123,129,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,29.0,got,130.0,133.0,29,got,130,133,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,30.0,home,134.0,138.0,30,home,134,138,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,31.0,YAAAYwe,139.0,146.0,31,YAAAYwe,139,146,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,32.0,are,147.0,150.0,32,are,147,150,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,33.0,home,151.0,155.0,33,home,151,155,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,34.0,that,156.0,160.0,34,that,156,160,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,35.0,was,161.0,164.0,35,was,161,164,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,36.0,a,165.0,166.0,36,a,165,166,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,37.0,long,167.0,171.0,37,long,167,171,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,38.0,trip,172.0,176.0,38,trip,172,176,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,39.0,lest,177.0,181.0,39,lest,177,181,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,40.0,',181.0,182.0,40,',181,182,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,41.0,s,182.0,183.0,41,s,182,183,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,42.0,go,184.0,186.0,42,go,184,186,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,43.0,to,187.0,189.0,43,to,187,189,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
BBCMHJPT,44.0,bed,190.0,193.0,44,bed,190,193,equal,True,Equal,1,,False,False,BBCMHJPT_s001,
