Research ID,AU,TS,ID,CS/PD,Voc,Coh,Pa,SS,Pun,Spell,Total,WordCount,yrlev,Raw text,Corrected text (8),CorrectedBy,NarrativeTagsJSON,DialogueSpansJSON,InputQuality,InputQualityReasons
BBCMHJPT,2.0,1.44,1.78,1.44,1.78,1.89,0.0,1.89,1.0,2.22,15.44,52,,There once was a girl called lilly she had pet horse they went for walk oh no she said we are lost what should we do. They finaly got home YAAAYwe are home that was a long trip lest's go to bed now the horse said why you can talk lilly said.,"There once was a girl called Lilly. She had a pet horse. They went for a walk. ""Oh no,"" she said, ""we are lost. What should we do?"" They finally got home. ""YAAAY, we are home. That was a long trip. Let's go to bed now,"" the horse said. ""Why, you can talk?"" Lilly said.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BBKBYNDW,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.5,43,,wrire a narrative story abouta search for some thing. your story could be about a plaace or a searck for an obj ect. lt could be you can what happens if it isn own idea adout a search for something. information orbs WH,wrire a narrative story abouta search for some thing. your story could be about a plaace or a searck for an obj ect. lt could be you can what happens if it isn own idea adout a search for something. information orbs WH,claude_corrector_claude_opus_4_7,[],[],review,"[""contains writing-prompt instruction language""]"
BBRWTLYV,4.11,2.89,3.44,3.11,3.56,3.0,1.33,3.78,3.33,5.22,33.78,494,,"The Failed Submarine I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of. Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2. But the major problem was the 'bargain' price. It was only about a few thousand dollars a night to go on an underwater and moving 'hotel'. But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won. The first thing I did was persuade my mum into going on a Sub 2 trip for a few nights, and she, at last, reluctantly agreed to go on a few nights around Australia. Hopes high, I boarded the luxury submarine, and the first thing my family and I did was go to the dining room. We sat on floating recliners and ate pricey food made by a private chef on a floating table the size of a bus. But the highlight of the trip around Australia was the rooms we had booked for rooms for the journey. The door was unlocked by Face ID, and we were greated to a spectacular dining room with an underwater view. As we plonked down onto the hovering king-sized beds, the boat stopped gliding through the ocean like a knife. Assuming that it was normal, we started jumping on the bed. Suddenly, disaster struck, like lightening to a tree. The glass pane that gave us an underwater view cracked like hammer to a rice cracker. Pools of water rushed into the immense room as the waves pushed against us without mercy. We paddled out the window, and for a vertiginous moment, my family and I felt like drowning as we realised we were about a hundred meters below sea level, but the moment left as soon as it had come. I kicked my legs as brutally as I could, one hand paddling and the other clutched onto Mum. At last, I broke free of the nightmare and I was inhaling lungfulls of fresh, salty air, overwhelmed to be at the surface rather than the bottom. But it wasn't over. We were still hundreds of meters away from a sandy shore. I paddled for hours, my thigh and arms screaming at my head in pain. My family was in the same boat as me as Mum just decided to glide smoothly through the cool water. After a few hours of breathing and kicking and breathing and kicking, a familiar beach came in site. It was Bondi. I was fulled to the brim of joy, and I paddked hard with the strength I suddenly knew I had. I stood like a hero. I wanted to fell the highest spruce and strip it and trim it clean with my bare hands with the strength I knew I had, before collapsing in pools of tears.","The Failed Submarine

I had always wanted go on a submarine, especially a Sub 2, a type of submarine that has every thing you can think of. Floating chairs, luxurious king sized beds, rooms as large as a house, those were all average features on a Sub 2. But the major problem was the 'bargain' price. It was only about a few thousand dollars a night to go on an underwater and moving 'hotel'. But that became possible after we got an email from the NSW Lotteries giving us a few million dollars after we won. The first thing I did was persuade my mum into going on a Sub 2 trip for a few nights, and she, at last, reluctantly agreed to go on a few nights around Australia.

Hopes high, I boarded the luxury submarine, and the first thing my family and I did was go to the dining room. We sat on floating recliners and ate pricey food made by a private chef on a floating table the size of a bus. But the highlight of the trip around Australia was the rooms we had booked for rooms for the journey. The door was unlocked by Face ID, and we were greeted to a spectacular dining room with an underwater view. As we plonked down onto the hovering king-sized beds, the boat stopped gliding through the ocean like a knife. Assuming that it was normal, we started jumping on the bed.

Suddenly, disaster struck, like lightning to a tree. The glass pane that gave us an underwater view cracked like hammer to a rice cracker. Pools of water rushed into the immense room as the waves pushed against us without mercy. We paddled out the window, and for a vertiginous moment, my family and I felt like drowning as we realised we were about a hundred meters below sea level, but the moment left as soon as it had come. I kicked my legs as brutally as I could, one hand paddling and the other clutched onto Mum. At last, I broke free of the nightmare and I was inhaling lungfuls of fresh, salty air, overwhelmed to be at the surface rather than the bottom.

But it wasn't over. We were still hundreds of meters away from a sandy shore. I paddled for hours, my thigh and arms screaming at my head in pain. My family was in the same boat as me as Mum just decided to glide smoothly through the cool water. After a few hours of breathing and kicking and breathing and kicking, a familiar beach came in sight. It was Bondi. I was fulled to the brim of joy, and I paddled hard with the strength I suddenly knew I had. I stood like a hero. I wanted to fell the highest spruce and strip it and trim it clean with my bare hands with the strength I knew I had, before collapsing in pools of tears.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BCDVWQDF,3.0,2.5,3.0,2.3,2.4,2.2,1.1,3.4,2.3,3.7,25.9,243,,"The diamond ring Emmy was just having breakfast at home when she picked up the newspaper, she read it. Diamond ring for 5000 million dollars. Emmy immediatly jumped. ""If I sell the diamond ring I'll be so rich!"" said Emmy. So the search began Emmy searched all the stores. Until she came across a jewelery store with fancy jewels. She looked through the window and she saw the diamond ring. She went inside the store pretending to be a customer. Emmy was so close to the diamond ring when she went close enough to almost reach it, an alarm went off. Emmy ran out the store as quickly as she could but all the doors and windows started closing. Then the police came in. ""Stop thief!"" they screamed. Emmy decided to break the door down so she broke the door down and escaped. The police chased her. The police were right on her tail she still ran at full speed even though she was really tired. The police however didn't give up they kept chasing her. Emmy came across a corner and she turned the police however didn't see the turn and they just sped past the corner. So Emmy however managed to escape. She still wanted the diamond ring but all the trama that she went through today just to steal the diamond ring she didn't want the sort of intencity again so she quit stealing and just went to have lunch.","The Diamond Ring

Emmy was just having breakfast at home when she picked up the newspaper. She read it. Diamond ring for 5000 million dollars. Emmy immediately jumped. ""If I sell the diamond ring I'll be so rich!"" said Emmy. So the search began. Emmy searched all the stores, until she came across a jewellery store with fancy jewels. She looked through the window and she saw the diamond ring. She went inside the store pretending to be a customer. Emmy was so close to the diamond ring. When she went close enough to almost reach it, an alarm went off. Emmy ran out the store as quickly as she could, but all the doors and windows started closing. Then the police came in. ""Stop thief!"" they screamed. Emmy decided to break the door down, so she broke the door down and escaped. The police chased her. The police were right on her tail. She still ran at full speed even though she was really tired. The police however didn't give up. They kept chasing her. Emmy came across a corner and she turned. The police however didn't see the turn and they just sped past the corner. So Emmy however managed to escape. She still wanted the diamond ring, but all the trauma that she went through today just to steal the diamond ring, she didn't want the sort of intensity again, so she quit stealing and just went to have lunch.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BCXSFTWC,1.5,0.6,1.4,0.5,1.4,1.2,0.0,1.1,1.0,1.8,10.5,58,,If you are locking for a dimiens go to most diming most dimiens it will tack abort 2 days and will ayiss and mabbing will tack 2 wecks if you are luck and most liy tack for ayissits the bist idere and do not git my stared with the ufvor was to fined dimiens im dun telling.,"If you are locking for a dimiens, go to most diming. Most dimiens it will tack abort 2 days and will ayiss, and mabbing will tack 2 wecks if you are luck and most liy tack for ayissits the bist idere. And do not git my stared with the ufvor was to fined dimiens. I'm dun telling.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BGRRHYPQ,3.11,2.22,3.0,2.44,2.33,2.11,0.0,3.22,2.11,4.33,24.89,280,,"the story about the boy that was on a search for a moon rock Once upon a time there was a boy who really wanted to go to the moon to collect a moon rock but he just didn't know how. He asked his mum,dad,sister and brother but they all just said to go to a space station. Eventually he listened to them he went to SYDNEY space station but they said he's to young for he was 9 and you had to be at least 18 to go on a space mission but he wouldn't give up he asked all his friends and extended family but they just said the same as his family. He told them he tried that but they said he couldn't his friends and family didn't know what to tell him. The boy spent days researching how he could go to the moon. Most of the things he found were just space stations in different countries or just SYDNEY space station. he considered just waiting until he was 18 but one part of him told him to keep going and he listened to that part so he asking more and more people until finally sombody told him something different he told him to go to SYDNEY space stations website and buy one hundred dollar tickets for the special kids ride. So he begged his mum and dad until finally they bought him the tickets and after a two hour journey he made it to the moon and brought back a moon rock. He was so excited and thankful that his mum and dad bought him the ticket that he hugged them for a whole hour.","The story about the boy that was on a search for a moon rock.

Once upon a time there was a boy who really wanted to go to the moon to collect a moon rock, but he just didn't know how. He asked his mum, dad, sister and brother, but they all just said to go to a space station. Eventually he listened to them. He went to Sydney space station, but they said he's too young, for he was 9 and you had to be at least 18 to go on a space mission. But he wouldn't give up. He asked all his friends and extended family, but they just said the same as his family. He told them he tried that, but they said he couldn't. His friends and family didn't know what to tell him. The boy spent days researching how he could go to the moon. Most of the things he found were just space stations in different countries or just Sydney space station. He considered just waiting until he was 18, but one part of him told him to keep going and he listened to that part, so he asking more and more people until finally somebody told him something different. He told him to go to Sydney space station's website and buy one hundred dollar tickets for the special kids ride. So he begged his mum and dad until finally they bought him the tickets, and after a two hour journey he made it to the moon and brought back a moon rock. He was so excited and thankful that his mum and dad bought him the ticket that he hugged them for a whole hour.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BGZZHTXS,4.4,2.9,3.7,3.3,3.7,3.1,1.0,4.1,2.8,4.9,33.9,448,,"""Goodbye Dad, don't forget to get me the manual"" Marcus said to his father, oblivious to the fact this might be the last time he will ever get the chance to talk to his father. His father was an older gentlemen, a mechanic but he was the only breadwinner of the family. He would frequently go to west germany because business was significantly better there. The sun shone over Marcus's face but it was too cold to get out of bed, the breeze shook his window vigirously, but exicted to see the new Manual his father had brought home, he got out of bed, got changed and went downstairs. ""Where's pa?"" Marcus uttered, growing worried as his dad is never late. His mother did not respond and so he asked again ""Where's pa?"" growing louder and more anxious each time, his mother's response never changed. He peeked out of his window and he saw tanks, soliders and most importantly a huge wall dividing the west and the east. He ran around the wall for hours scouring for his father, but when he found him, he was just out of reach. Marcus ran home and told his mother that he saw his father, but when Marcus's mother saw his father it was too much for her to bare, she tried to run and she was shot dead like a dog, like something without emotions, feelings, people that she cares for or a life. Marcus's life changed in mere hours, from living with a father and a mother in a warm, loving, caring home to being an orphan stranded by himself. He took a cart and collected plastic, sold the plastic and did so to earn food to eat, but that was not the life Marcus wanted, had worked for. During his walks looking for plastic he had realised that the bank rose above all and it was closest to the wall. It was his ticket to freedom but Marcus could not afford to even enter the bank. Marcus loved everything to do with flying, from paper airplanes to helicopters and everything in between like gliders. So he saved some of the plastic slowly building a ladder that can be folded small enough to be concleaed at night but big enough to break into the bank's windows. The bank was a tall but thin building and only the first two floors were utilised, if he could get to the third floor then he could get to the top, and that he did. He created a glider, put it on, jumped to the west dodging all soliders and ran to his father and they all lived happily ever after.","""Goodbye Dad, don't forget to get me the manual,"" Marcus said to his father, oblivious to the fact this might be the last time he will ever get the chance to talk to his father. His father was an older gentleman, a mechanic, but he was the only breadwinner of the family. He would frequently go to West Germany because business was significantly better there. The sun shone over Marcus's face but it was too cold to get out of bed. The breeze shook his window vigorously, but excited to see the new manual his father had brought home, he got out of bed, got changed and went downstairs. ""Where's pa?"" Marcus uttered, growing worried as his dad is never late. His mother did not respond and so he asked again, ""Where's pa?"" growing louder and more anxious each time. His mother's response never changed. He peeked out of his window and he saw tanks, soldiers and most importantly a huge wall dividing the west and the east. He ran around the wall for hours scouring for his father, but when he found him, he was just out of reach. Marcus ran home and told his mother that he saw his father, but when Marcus's mother saw his father it was too much for her to bear. She tried to run and she was shot dead like a dog, like something without emotions, feelings, people that she cares for or a life. Marcus's life changed in mere hours, from living with a father and a mother in a warm, loving, caring home to being an orphan stranded by himself. He took a cart and collected plastic, sold the plastic and did so to earn food to eat, but that was not the life Marcus wanted, had worked for. During his walks looking for plastic he had realised that the bank rose above all and it was closest to the wall. It was his ticket to freedom, but Marcus could not afford to even enter the bank. Marcus loved everything to do with flying, from paper airplanes to helicopters and everything in between like gliders. So he saved some of the plastic, slowly building a ladder that can be folded small enough to be concealed at night but big enough to break into the bank's windows. The bank was a tall but thin building and only the first two floors were utilised. If he could get to the third floor then he could get to the top, and that he did. He created a glider, put it on, jumped to the west dodging all soldiers and ran to his father and they all lived happily ever after.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BHLQHBRW,4.6,2.7,3.7,3.5,4.0,3.2,1.9,4.7,4.5,5.3,38.1,557,,"The search ""Come on kids, let me tell you the story of the day I went to Mars in search of the most rare item in the universe,"" Martha Herry said as she tucked her children into bed. ""This is one long story..."" It was March 19th, 3202. Everyone had to evacuate Earth due to the shortage of air, but the only other planet with enough air to sustain the human race was covered in hostile alien creatures. Sure the terms 'alien' and 'creature' were a little outdated for most people, but it was the only way you could describe those horrifying creatures. They had a long, thin, parchment white body. The more private areas of their bodies were covered in long, thick, black tenticeles which had a second use; to strangle and tear apart their prey. No one could ever hope to find peace with these creatures. Except, of course, one particular item which could make them peaceful. However, it was lost centuries ago, and its existence was only found recently. I, however, Martha Herry, was put to the task of locating this object and saving mankind! The object was described in an ancient scroll found by one of the few survivors who were sent to the aliens' home planet. As I was in the high-tech, military grade spaceship to the center planet in the solar system, I looked through the scroll to decipher it and figure out which planet we had to go to. Of course, I was not doing it alone. I had team of people working beside me; Jules, Amelia, Peter, Jack, and Esmerelda. My team quickly deciphered almost all of the scroll, with the only part that we couldn't figure out being a single sentence at the end, which was written in a completely different cipher to the rest of the scroll. However, we didn't think much of it, as we were already far too excited to be going to the planet with the unknown object already. We soon arrived at Magmatrella, the 7th hottest planet in the solar system (this is because it is extremely close to a blue sun). The team quickly geared up and headed outside. ""How hard was it to put on the helmet if you have so much ginger hair, mum?"" Andrew asked curiously. ""She probably tied it up, stupid,"" Angela hissed at her younger brother. ""Hey, no fighting,"" I said disapprovingly. ""Anyway, on with the story..."" Peter followed the small map on the scroll and the rest of us followed him. We soon arrived at a temple that was hidden underneath the space. ""How have the explorers never found this place?"" Esmerelda wondered aloud. ""Do you think-"" Her question was cut short with a scream as long black tenticle protruded from her stomach. Another tenticle wrapped itself around her head as it slowly crushed it. The rest of us were frozen in horror as we looked at the gruesome scene before us... ""Wait, wait mum! We're kids! If you keep going then we're going to have nightmares!"" little Andrew whined. ""But I want to hear the rest!"" Angela said angrily. Martha shook her head. ""Andrew is right. But if you want to hear the rest of the story later, I could tell you what happens tomorrow, eh?"" she said with a smile. ""Goodnight...""","The search ""Come on kids, let me tell you the story of the day I went to Mars in search of the most rare item in the universe,"" Martha Herry said as she tucked her children into bed. ""This is one long story..."" It was March 19th, 3202. Everyone had to evacuate Earth due to the shortage of air, but the only other planet with enough air to sustain the human race was covered in hostile alien creatures. Sure, the terms 'alien' and 'creature' were a little outdated for most people, but it was the only way you could describe those horrifying creatures. They had a long, thin, parchment white body. The more private areas of their bodies were covered in long, thick, black tentacles which had a second use; to strangle and tear apart their prey. No one could ever hope to find peace with these creatures. Except, of course, one particular item which could make them peaceful. However, it was lost centuries ago, and its existence was only found recently. I, however, Martha Herry, was put to the task of locating this object and saving mankind! The object was described in an ancient scroll found by one of the few survivors who were sent to the aliens' home planet. As I was in the high-tech, military grade spaceship to the center planet in the solar system, I looked through the scroll to decipher it and figure out which planet we had to go to. Of course, I was not doing it alone. I had team of people working beside me; Jules, Amelia, Peter, Jack, and Esmerelda. My team quickly deciphered almost all of the scroll, with the only part that we couldn't figure out being a single sentence at the end, which was written in a completely different cipher to the rest of the scroll. However, we didn't think much of it, as we were already far too excited to be going to the planet with the unknown object already. We soon arrived at Magmatrella, the 7th hottest planet in the solar system (this is because it is extremely close to a blue sun). The team quickly geared up and headed outside. ""How hard was it to put on the helmet if you have so much ginger hair, Mum?"" Andrew asked curiously. ""She probably tied it up, stupid,"" Angela hissed at her younger brother. ""Hey, no fighting,"" I said disapprovingly. ""Anyway, on with the story..."" Peter followed the small map on the scroll and the rest of us followed him. We soon arrived at a temple that was hidden underneath the space. ""How have the explorers never found this place?"" Esmerelda wondered aloud. ""Do you think-"" Her question was cut short with a scream as a long black tentacle protruded from her stomach. Another tentacle wrapped itself around her head as it slowly crushed it. The rest of us were frozen in horror as we looked at the gruesome scene before us... ""Wait, wait, Mum! We're kids! If you keep going then we're going to have nightmares!"" little Andrew whined. ""But I want to hear the rest!"" Angela said angrily. Martha shook her head. ""Andrew is right. But if you want to hear the rest of the story later, I could tell you what happens tomorrow, eh?"" she said with a smile. ""Goodnight...""",claude_corrector_claude_opus_4_7,[],[],ok,[]
BPHVBHZV,2.13,1.5,2.13,1.75,2.25,2.0,0.0,2.13,1.75,3.0,18.63,50,,"Boom! it was an explosion the world shook asnd lfe flashed before my eyes i struggled to get up burried in te remains of whats of our house, this was the third bombing in 1 week but we couldn't leave. The civil war in iraq had reached a new level.","Boom! It was an explosion. The world shook and life flashed before my eyes. I struggled to get up, buried in the remains of what was our house. This was the third bombing in 1 week, but we couldn't leave. The civil war in Iraq had reached a new level.",claude_corrector_claude_opus_4_7,[],[],ok,[]
BQTNFJFX,1.0,0.67,0.89,0.67,0.89,0.89,0.0,0.67,1.0,0.89,7.56,5,,the ag is god unecon.,The ag is god unecon.,claude_corrector_claude_opus_4_7,[],[],review,"[""too short for narrative scoring (5 words)""]"
